hook_smoke	0380	4.65	1.35	action
hook_twenty	0372	29.90	1.05	dialogue
hook_ten	0367	8.00	1.05	dialogue
hook_flame	0327	41.10	1.05	action
arrival_crowd	0289	18.00	2.50	ambient
arrival_roadster	0292	8.70	2.00	ambient
car_red	0335	0.20	1.10	ambient
car_bmw	0345	0.00	1.10	ambient
car_neon	0352	0.10	1.10	ambient
car_close	0292	27.80	1.20	ambient
drift_smoke_long	0302	13.80	1.90	action
drift_emerge	0380	5.00	2.60	action
premise	0361	0.00	4.00	dialogue
p1_rating	0361	13.40	2.20	dialogue
p1_predict	0361	18.20	2.60	dialogue
p2_rating	0362	12.20	2.30	dialogue
p2_predict	0362	18.90	2.30	dialogue
p3_rating	0379	7.10	2.30	dialogue
p3_predict	0379	10.80	2.30	dialogue
p4_rating	0367	7.80	1.60	dialogue
p4_predict	0367	12.72	3.20	dialogue
p5_rating	0373	19.00	2.20	dialogue
p5_predict	0373	30.00	2.50	dialogue
p6_rating	0374	14.50	2.20	dialogue
p6_predict	0374	19.60	2.30	dialogue
peak_twenty	0372	29.90	4.30	dialogue
end_burnout	0380	5.00	3.20	action
