hook_burnout	0380	7.25	0.75
laugh_opener	0373	31.10	0.90
roadster_smile	0372	34.20	0.85
unique_smile	0379	16.40	0.80
roadster_wide	0292	8.70	1.10
roadster_close	0372	27.80	0.90
laugh_car	0367	11.20	0.90
purple_fun	0374	20.80	0.90
unique_gesture	0379	11.80	0.80
neon_trunk	0352	0.10	0.80
bmw_glow	0345	0.00	0.80
underglow_side	0349	0.70	0.80
red_classic	0335	0.20	0.80
flame_pop	0327	41.10	0.90
happy_crowd	0289	25.40	1.00
friends_laugh	0373	14.50	0.90
roadster_grin	0372	29.50	0.90
drift_smoke	0302	13.80	1.00
final_burnout	0380	4.65	2.60
